"Country","Year","Season","Area","Fleets","Fleet1","Catch.Cat.","Discards.Imported.Or.Raised","Catch..kg","Source","p","Catch..kgOld"
"Belgium",2021,2,"27.7.e","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",19431,"Imported",1,19431
"Belgium",2021,3,"27.7.e","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",25073.75,"Imported",1,25073.75
"Belgium",2021,3,"27.7.e","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",19431,"Imported",1,19431
"Belgium",2021,4,"27.7.e","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",25073.75,"Imported",1,25073.75
"Belgium",2021,4,"27.7.e","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",19431,"Imported",1,19431
"Belgium",2022,1,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",9278,"Imported",1,9278
"Belgium",2022,1,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",23523,"Imported",1,23523
"Belgium",2022,2,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",53655,"Imported",1,53655
"Belgium",2022,2,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",53140,"Imported",1,53140
"Belgium",2022,3,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",81620,"Imported",1,81620
"Belgium",2022,3,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",90246,"Imported",1,90246
"Belgium",2022,4,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",11213,"Imported",1,11213
"Belgium",2022,4,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",46278,"Imported",1,46278
"Belgium",2023,1,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",5585,"Imported",1,5585
"Belgium",2023,1,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",42109,"Imported",1,42109
"Belgium",2023,2,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",25291,"Imported",1,25291
"Belgium",2023,2,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",121287,"Imported",1,121287
"Belgium",2023,3,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",28486,"Imported",1,28486
"Belgium",2023,3,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",130056,"Imported",1,130056
"Belgium",2023,4,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",10231,"Imported",1,10231
"Belgium",2023,4,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",127291,"Imported",1,127291
"Denmark",2002,2,"27.8.a","All","MIS_MIS","Landings","Imported",0,"FillSeason",1,0
"France",2002,1,"27.7.b","GNS_DEF_>=100_0_0","GNS_DEF","Landings","Imported",74.45,"FillCountry",1,74.45
"France",2002,1,"27.7.b","GTR_DEF_120-219_0_0","GNS_DEF","Landings","Imported",1.25,"FillCountry",1,1.25
"France",2002,1,"27.7.b","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",12.96,"FillCountry",1,12.96
"France",2002,1,"27.7.b","OTB_CRU_0_0","OTB_CRU","Landings","Imported",64.44,"FillCountry",1,64.44
"France",2002,1,"27.7.b","OTB_DEF_100-119_0_0","OTB_DEF","Landings","Imported",29662.57,"FillCountry",1,29662.57
"France",2002,1,"27.7.b","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",5988.03,"FillCountry",1,5988.03
"France",2002,1,"27.7.b","OTT_DEF_100-119_0_0","OTB_DEF","Landings","Imported",100.58,"FillCountry",1,100.58
"France",2002,1,"27.7.c","GNS_DEF_>=100_0_0","GNS_DEF","Landings","Imported",441.22,"FillCountry",1,441.22
"France",2002,1,"27.7.c","GTR_DEF_120-219_0_0","GNS_DEF","Landings","Imported",34.39,"FillCountry",1,34.39
"France",2002,1,"27.7.c","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",11.83,"FillCountry",1,11.83
"France",2002,1,"27.7.c","OTB_DEF_100-119_0_0","OTB_DEF","Landings","Imported",4752.46,"FillCountry",1,4752.46
"France",2002,1,"27.7.c","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",1254.68,"FillCountry",1,1254.68
"France",2002,1,"27.7.d","GTR_DEF_0_0","GNS_DEF","Landings","Imported",1.98,"FillCountry",1,1.98
"France",2002,1,"27.7.d","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",118.62,"FillCountry",1,118.62
"France",2002,1,"27.7.d","OTB_DEF_0_0","OTB_DEF","Landings","Imported",1.19,"FillCountry",1,1.19
"France",2002,1,"27.7.d","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",600.91,"FillCountry",1,600.91
"France",2002,1,"27.7.d","OTT-DEF","OTB_DEF","Landings","Imported",1.58,"FillCountry",1,1.58
"France",2002,1,"27.7.d","OTT_DEF_>=70_0_0","OTB_DEF","Landings","Imported",0.76,"FillCountry",1,0.76
"France",2002,1,"27.7.e","GNS_DEF_0_0","GNS_DEF","Landings","Imported",0,"FillCountry",1,0
"France",2002,1,"27.7.e","GNS_DEF_>=100_0_0","GNS_DEF","Landings","Imported",5344.17,"FillCountry",1,5344.17
"France",2002,1,"27.7.e","GTR_CRU_0_0_0","GNS_DEF","Landings","Imported",10.97,"FillCountry",1,10.97
"France",2002,1,"27.7.e","GTR_DEF_0_0","GNS_DEF","Landings","Imported",0,"FillCountry",1,0
"France",2002,1,"27.7.e","GTR_DEF_100-119_0_0","GNS_DEF","Landings","Imported",22.7,"FillCountry",1,22.7
"France",2002,1,"27.7.e","GTR_DEF_120-219_0_0","GNS_DEF","Landings","Imported",0,"FillCountry",1,0
"France",2002,1,"27.7.e","GTR_DEF_>=220_0_0","GNS_DEF","Landings","Imported",0,"FillCountry",1,0
"France",2002,1,"27.7.e","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",0,"FillCountry",1,0
"France",2002,1,"27.7.e","OTB_CRU_0_0","OTB_CRU","Landings","Imported",0.37,"FillCountry",1,0.37
"France",2002,1,"27.7.e","OTB_DEF_0_0","OTB_DEF","Landings","Imported",177.25,"FillCountry",1,177.25
"France",2002,1,"27.7.e","OTB_DEF_100-119_0_0","OTB_DEF","Landings","Imported",10059.9,"FillCountry",1,10059.9
"France",2002,1,"27.7.e","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",28091.69,"FillCountry",1,28091.69
"France",2002,1,"27.7.e","OTT-CRU","OTB_CRU","Landings","Imported",1.62,"FillCountry",1,1.62
"France",2002,1,"27.7.e","OTT-DEF","OTB_DEF","Landings","Imported",0.63,"FillCountry",1,0.63
"France",2002,1,"27.7.e","OTT_DEF_100-119_0_0","OTB_DEF","Landings","Imported",223.75,"FillCountry",1,223.75
"France",2002,1,"27.7.e","OTT_DEF_>=70_0_0","OTB_DEF","Landings","Imported",66.79,"FillCountry",1,66.79
"France",2002,1,"27.7.f","OTB_CRU_0_0","OTB_CRU","Landings","Imported",5.67,"FillCountry",1,5.67
"France",2002,1,"27.7.f","OTB_DEF_100-119_0_0","OTB_DEF","Landings","Imported",0,"FillCountry",1,0
