EG,StockCode,StockFullName1
WGBFAS,spr.27.22-32,Sprat (Sprattus sprattus) in subdivisions 22–32 (Baltic Sea)
WGBFAS,tur.27.22-32,Turbot (Scophthalmus maximus) in subdivisions 22–32 (Baltic Sea)
WGBIE,,
WGBIE,,
WGBIE,ank.27.78abd,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and in divisions 8.a, 8.b, and 8.d (Celtic Seas, Bay of Biscay)"
WGBIE,ank.27.8c9a,"Black-bellied anglerfish (Lophius budegassa) in divisions 8.c and 9.a (Cantabrian Sea, Atlantic Iberian waters)"
WGBIE,bss.27.8ab,Seabass (Dicentrarchus labrax) in divisions 8.a and 8.b (northern and central Bay of Biscay)
WGBIE,bss.27.8c9a,Seabass (Dicentrarchus labrax) in divisions 8.c and 9.a (southern Bay of Biscay and Atlantic Iberian waters)
WGBIE,hke.27.3a46-8abd,"Hake (Merluccius merluccius) in subareas 4, 6, and 7 and in divisions 3.a, 8.a, 8.b, and 8.d; Northern stock (Greater North Sea, Celtic Seas, northern Bay of Biscay)"
WGBIE,hke.27.8c9a,Hake (Merluccius merluccius) in divisions 8.c and 9.a; Southern stock (Cantabrian Sea and  Atlantic Iberian waters)
WGBIE,ldb.27.7b-k8abd,"Four-spot megrim (Lepidorhombus boscii) in divisions 7.b–k, 8.a, 8.b, and 8.d (west and southwest of Ireland, Bay of Biscay)"
WGBIE,ldb.27.8c9a,Four-spot megrim (Lepidorhombus boscii) in divisions 8.c and 9.a (southern Bay of Biscay and Atlantic Iberian waters East)
WGBIE,meg.27.7b-k8abd,"Megrim (Lepidorhombus whiffiagonis) in divisions 7.b–k, 8.a, 8.b, and 8.d (west and southwest of Ireland, Bay of Biscay)"
WGBIE,meg.27.8c9a,Megrim (Lepidorhombus whiffiagonis) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)
WGBIE,mon.27.78abd,"White anglerfish (Lophius piscatorius) in Subarea 7 and in divisions 8.a, 8.b, and 8.d (Celtic Seas, Bay of Biscay)"
WGBIE,mon.27.8c9a,White anglerfish (Lophius piscatorius) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)
WGBIE,nep.fu.2324,"Norway lobster (Nephrops norvegicus) in divisions 8.a and 8.b, functional units 23 and 24 (northern and central Bay of Biscay)"
WGBIE,nep.fu.25,"Norway lobster (Nephrops norvegicus) in Division 8.c, Functional Unit 25 (southern Bay of Biscay, northern Galicia)"
WGBIE,nep.fu.2627,"Norway lobster (Nephrops norvegicus) in Division 9.a, functional units 26 and 27 (Atlantic Iberian waters East, western Galicia, northern Portugal)"
WGBIE,nep.fu.2829,"Norway lobster (Nephrops norvegicus) in Division 9.a, functional units 28 and 29 (Atlantic Iberian waters East, southwestern and southern Portugal)"
WGBIE,nep.fu.30,"Norway lobster (Nephrops norvegicus) in Division 9.a, Functional Unit 30 (Atlantic Iberian waters East, Gulf of Cadiz)"
WGBIE,nep.fu.31,"Norway lobster (Nephrops norvegicus) in Division 8.c, Functional Unit 31 (southern Bay of Biscay, Cantabrian Sea)"
WGBIE,ple.27.89a,"Plaice (Pleuronectes platessa) in Subarea 8 and in Division 9.a (Bay of Biscay, Atlantic Iberian waters)"
WGBIE,pol.27.89a,"Pollack (Pollachius pollachius) in Subarea 8 and in Division 9.a (Bay of Biscay, Atlantic Iberian waters)"
WGBIE,sol.27.8ab,Sole (Solea solea) in divisions 8.a and 8.b (northern and central Bay of Biscay)
WGBIE,sol.27.8c9a,"Sole (Solea solea) in divisions 8.c and 9.a (Cantabrian Sea, Atlantic Iberian waters)"
WGBIE,whg.27.89a,"Whiting (Merlangius merlangus) in Subarea 8 and in Division 9.a (Bay of Biscay, Atlantic Iberian waters)"
WGCSE,,
WGCSE,,
WGCSE,anf.27.3a46,"Anglerfish (Lophius budegassa, Lophius piscatorius) in subareas 4 and 6 and in Division 3.a (North Sea, Rockall and West of Scotland, Skagerrak, Kattegat)"
WGCSE,bss.27.4bc7ad-h,"Seabass (Dicentrarchus labrax) in divisions 4.b, 4.c, 7.a, and 7.d–h (central and southern North Sea, Irish Sea, English Channel, Bristol Channel, Celtic Sea)"
WGCSE,bss.27.6a7bj,"Seabass (Dicentrarchus labrax) in divisions 6.a, 7.b, and 7.j (West of Scotland, West of Ireland, eastern part of southwest of Ireland)"
WGCSE,cod.27.6b,Cod (Gadus morhua) in Division 6.b (Rockall)
WGCSE,cod.27.7a,Cod (Gadus morhua) in Division 7.a (Irish Sea)
WGCSE,cod.27.7e-k,Cod (Gadus morhua) in divisions 7.e–k (eastern English Channel and southern Celtic Seas)
WGCSE,had.27.6b,Haddock (Melanogrammus aeglefinus) in Division 6.b (Rockall)
WGCSE,had.27.7a,Haddock (Melanogrammus aeglefinus) in Division 7.a (Irish Sea)
WGCSE,had.27.7b-k,Haddock (Melanogrammus aeglefinus) in divisions 7.b–k (southern Celtic Seas and English Channel)
WGCSE,lez.27.4a6a,"Megrim (Lepidorhombus spp.) in divisions 4.a and 6.a (northern North Sea, West of Scotland)"
WGCSE,lez.27.6b,Megrim (Lepidorhombus spp.) in Division 6.b (Rockall)
