Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
France	3	Quarter	2024	sol.27.8ab	27.8.b	GNS_DEF_100-119_0_0_all	127841	kWd	0.00	Discards	R-Reported	Imported
Spain	3	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	145280	kWd	1285.00	Landings	R-Reported	Imported
Spain	1	Quarter	2024	sol.27.8ab	27.8.a	GNS_DEF_>=100_0_0	69037	kWd	0.00	Landings	R-Reported	Imported
Spain	4	Quarter	2024	sol.27.8ab	27.8.b	OTB_MCF_>=70_0_0	1757	kWd	46.00	Landings	R-Reported	Imported
Spain	2	Quarter	2024	sol.27.8ab	27.8.b	MIS_MIS_0_0_0_HC	-9	kWd	4.00	Landings	R-Reported	Imported
Spain	2	Quarter	2024	sol.27.8ab	27.8.b	GTR_DEF_60-79_0_0	672	kWd	35.30	Landings	R-Reported	Imported
Spain	3	Quarter	2024	sol.27.8ab	27.8.b	GNS_DEF_>=100_0_0	13141	kWd	0.00	Landings	R-Reported	Imported
Spain	2	Quarter	2024	sol.27.8ab	27.8.a	OTB_MCF_>=70_0_0	0	kWd	0.00	Discards	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	767688	kWd	0.00	Discards	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	936856	kWd	24492.28	Landings	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.a	MIS_MIS_0_0_0	3057183	kWd	3907.13	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	170088	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	184593	kWd	22398.33	Landings	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.b	OTT_DEF_>=70_0_0	23442	kWd	2430.82	Landings	R-Reported	Imported
