VesselFlagCountry,year,workingGroup,stock,speciesCode,CatchCategory,domainBiology,fishDomain,bvType,bvValue,AgeType,AgeGroupPlus,variableType,total,mean,varianceTotal,varianceMean,PSUtype,numPSUs,numSamples,numMeasurements
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Age,3,ageyear,,WeightLive,NA,1321.7734522,NA,NA,,3,3,135
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Age,4,ageyear,,WeightLive,NA,2717.1524597,NA,NA,,3,3,135
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Age,5,ageyear,,WeightLive,NA,4308.1038493,NA,NA,,3,3,135
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Age,7,ageyear,,WeightLive,NA,2306.07,NA,NA,,3,3,135
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Age,1,ageyear,,WeightLive,NA,48.415987201,NA,NA,,9,9,27
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Age,2,ageyear,,WeightLive,NA,166.44592379,NA,NA,,9,9,27
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Age,3,ageyear,,WeightLive,NA,246.5,NA,NA,,9,9,27
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,29,,,WeightLive,NA,294.84,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,30,,,WeightLive,NA,297.18,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,31,,,WeightLive,NA,326.898,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,32,,,WeightLive,NA,368.94,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,33,,,WeightLive,NA,380.08285714,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,34,,,WeightLive,NA,451.3275,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,35,,,WeightLive,NA,458.97428571,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,36,,,WeightLive,NA,478.38375,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,37,,,WeightLive,NA,558.675,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,38,,,WeightLive,NA,611.676,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,39,,,WeightLive,NA,682.4025,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,40,,,WeightLive,NA,719.082,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,41,,,WeightLive,NA,762.84,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,42,,,WeightLive,NA,744.705,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,43,,,WeightLive,NA,813.4425,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,44,,,WeightLive,NA,945.4068707,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,45,,,WeightLive,NA,1004.445,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,46,,,WeightLive,NA,936,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,47,,,WeightLive,NA,1103.6377283,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,48,,,WeightLive,NA,1184.2514708,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,49,,,WeightLive,NA,930.15,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,50,,,WeightLive,NA,1196.9594773,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,51,,,WeightLive,NA,1351.35,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,52,,,WeightLive,NA,1492.14,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,53,,,WeightLive,NA,1357.2,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,54,,,WeightLive,NA,1877.85,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,55,,,WeightLive,NA,1633.32,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,56,,,WeightLive,NA,1582.425,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,57,,,WeightLive,NA,2028.78,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,58,,,WeightLive,NA,1925.82,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,59,,,WeightLive,NA,1912.5928603,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,60,,,WeightLive,NA,1911.78,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,61,,,WeightLive,NA,2257.2214681,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,62,,,WeightLive,NA,2262.78,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,64,,,WeightLive,NA,2515.8226075,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,65,,,WeightLive,NA,3012.4575,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,66,,,WeightLive,NA,3159,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,67,,,WeightLive,NA,2969.7525,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,68,,,WeightLive,NA,3560.895,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,69,,,WeightLive,NA,3271.32,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,70,,,WeightLive,NA,3279.51,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,71,,,WeightLive,NA,3336.84,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,74,,,WeightLive,NA,4285.71,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,75,,,WeightLive,NA,4188.6,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,78,,,WeightLive,NA,5328.18,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,79,,,WeightLive,NA,5185.44,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,82,,,WeightLive,NA,5655.78,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,86,,,WeightLive,NA,6624.54,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,10,,,WeightLive,NA,5,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,11,,,WeightLive,NA,11,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,12,,,WeightLive,NA,14.666666667,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,13,,,WeightLive,NA,23.25,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,14,,,WeightLive,NA,25.666666667,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,15,,,WeightLive,NA,29.5,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,16,,,WeightLive,NA,37.888888889,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,17,,,WeightLive,NA,43.25,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,18,,,WeightLive,NA,50,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,19,,,WeightLive,NA,63.625,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,20,,,WeightLive,NA,69.6,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,21,,,WeightLive,NA,78.142857143,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,22,,,WeightLive,NA,94.090909091,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,23,,,WeightLive,NA,109.2,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,24,,,WeightLive,NA,110.375,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,25,,,WeightLive,NA,144.4,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,26,,,WeightLive,NA,149.33333333,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,27,,,WeightLive,NA,175.66666667,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,28,,,WeightLive,NA,203,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,29,,,WeightLive,NA,201.5,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,30,,,WeightLive,NA,246.5,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,31,,,WeightLive,NA,282.6,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,32,,,WeightLive,NA,283.33333333,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,33,,,WeightLive,NA,286,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,34,,,WeightLive,NA,357,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,35,,,WeightLive,NA,361,NA,NA,,9,9,216
