Mean weights at Lngt Lngt:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt200	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt270	UndeterminedLngt280	UndeterminedLngt290	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt370	UndeterminedLngt380	UndeterminedLngt390	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt470	UndeterminedLngt480	UndeterminedLngt490	UndeterminedLngt500	UndeterminedLngt510	UndeterminedLngt520	UndeterminedLngt530	UndeterminedLngt540	UndeterminedLngt560	UndeterminedLngt570	UndeterminedLngt580	UndeterminedLngt600	UndeterminedLngt610	UndeterminedLngt630	UndeterminedLngt660	
tur.27.3a	2022	3	27.3.a.20	Denmark	723271.00	Discards	R-Reported	OTB_CRU_90-119_0_0_all	16545.00	16545	0.00	13	0.00	9	0.00	0.00	0.00	0.00	279.67	287.75	329.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2022	2	27.3.a.20	Denmark	3955.00	Landings	R-Reported	TBB_DEF_>=120_0_0_all	179.00	179	0.00	123	0.00	3	0.00	0.00	248.52	0.00	313.92	356.98	452.90	522.66	534.54	600.59	631.93	699.78	721.04	793.52	0.00	961.93	1117.77	1166.85	1319.99	1470.41	0.00	0.00	1480.22	2081.90	0.00	2127.68	0.00	2234.50	2489.20	0.00	0.00	3232.94	0.00	0.00	0.00	0.00	4179.06	0.00	4777.47	0.00	5273.42	0.00	
tur.27.3a	2022	4	27.3.a.20	Denmark	918720.00	Landings	R-Reported	OTB_CRU_90-119_0_0_all	27787.00	27787	0.00	129	0.00	7	0.00	0.00	0.00	0.00	317.19	0.00	0.00	0.00	487.23	525.38	536.28	627.84	582.06	749.92	813.36	891.08	914.87	1078.56	1177.75	1237.59	1408.28	1503.66	1507.47	1702.58	1725.47	2265.02	2076.61	2157.66	2233.96	2791.13	2551.69	0.00	3097.23	0.00	3508.71	3864.05	4096.22	4087.50	0.00	4552.93	5492.51	7138.41	
tur.27.3a	2022	4	27.3.a.20	Denmark	5115.00	Landings	R-Reported	TBB_DEF_>=120_0_0_all	393.00	393	0.00	129	0.00	7	0.00	0.00	0.00	0.00	317.19	0.00	0.00	0.00	487.23	525.38	536.28	627.84	582.06	749.92	813.36	891.08	914.87	1093.51	1177.75	1237.59	1408.28	1503.66	1507.47	1702.58	1725.47	2265.02	2073.44	2147.21	2233.96	2791.13	2551.69	0.00	3099.31	0.00	3508.71	3864.05	4096.22	4087.50	0.00	4552.93	5492.51	7138.41	
tur.27.3a	2022	2	27.3.a.20	Denmark	422830.00	Landings	R-Reported	OTB_CRU_32-69_0_0_all	4.00	4	0.00	123	0.00	3	0.00	0.00	248.52	0.00	313.92	356.98	452.90	522.66	534.54	600.59	631.93	699.78	721.04	793.52	0.00	961.93	1145.72	1166.85	1319.99	1470.41	0.00	0.00	1480.22	2081.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2022	1	27.3.a.20	Denmark	18952.00	Landings	R-Reported	GNS_DEF_>=220_0_0_all	410.00	410	0.00	150	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	541.37	500.31	615.31	649.10	694.88	758.64	878.27	887.99	929.20	1079.55	1136.44	1306.63	1302.82	1514.45	1620.56	1860.99	1853.00	2077.54	2125.42	2317.90	2441.60	2648.70	0.00	2542.43	0.00	0.00	0.00	0.00	4179.06	0.00	4777.47	0.00	5273.42	0.00	
tur.27.3a	2022	3	27.3.a.20	Denmark	9527.00	Landings	R-Reported	GNS_DEF_>=220_0_0_all	654.00	654	0.00	123	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	502.49	513.12	530.56	603.86	675.53	682.07	761.64	906.06	1136.34	1132.23	1139.60	0.00	1370.13	1535.27	1584.86	1608.84	1666.61	2045.93	2081.90	2278.10	0.00	2455.77	0.00	2376.20	3047.64	0.00	3195.88	0.00	0.00	0.00	0.00	4563.83	5366.07	0.00	0.00	
tur.27.3a	2022	3	27.3.a.20	Denmark	41800.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	380.00	380	0.00	123	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	502.49	513.12	530.56	603.86	675.53	682.07	761.64	906.06	988.79	1103.49	1139.60	0.00	1370.13	1535.27	1584.86	1608.84	1666.61	2045.93	2081.90	2278.10	0.00	2455.77	0.00	2376.20	3047.64	0.00	3195.88	0.00	0.00	0.00	0.00	4563.83	5366.07	0.00	0.00	
tur.27.3a	2022	1	27.3.a.20	Denmark	34248.00	Landings	R-Reported	SDN_DEF_>=120_0_0_all	158.00	158	0.00	150	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	541.37	500.31	615.31	649.10	694.88	758.64	878.27	887.99	930.36	1083.55	1142.25	1308.44	1302.82	1514.45	1620.56	1860.99	1853.00	2077.54	2119.72	2313.34	2441.60	2648.70	0.00	2542.43	0.00	0.00	0.00	0.00	4179.06	0.00	4777.47	0.00	5273.42	0.00	
tur.27.3a	2022	1	27.3.a.20	Denmark	156112.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	6074.00	6074	0.00	150	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	541.37	500.31	615.31	649.10	694.88	758.64	878.27	887.99	932.44	1090.13	1151.12	1310.82	1302.82	1514.45	1620.56	1860.99	1853.00	2077.54	2113.24	2308.72	2441.60	2648.70	0.00	2542.43	0.00	0.00	0.00	0.00	4179.06	0.00	4777.47	0.00	5273.42	0.00	
