Mean weights at Age Age:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedAge0	UndeterminedAge1	UndeterminedAge2	UndeterminedAge3	UndeterminedAge4	UndeterminedAge5	UndeterminedAge6	UndeterminedAge7	UndeterminedAge8	UndeterminedAge9	UndeterminedAge10	UndeterminedAge11	UndeterminedAge12	UndeterminedAge13	UndeterminedAge14	UndeterminedAge15	UndeterminedAge16	UndeterminedAge17	UndeterminedAge18	UndeterminedAge20	UndeterminedAge21	
sol.27.8ab	2024	2	27.8.a	France	1363706.00	Landings	R-Reported	OTT_CRU_>=70_0_0	37666.45	-9	-9	375	-9	14	0.00	0.00	328.12	243.93	260.32	261.03	334.37	321.59	375.24	425.33	333.08	173.00	338.17	358.00	619.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.b	France	184593.00	Landings	R-Reported	OTB_DEF_>=70_0_0	22398.33	-9	-9	579	-9	7	0.00	181.65	230.52	300.58	352.53	399.48	376.16	406.98	577.99	560.24	0.00	558.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	936856.00	Landings	R-Reported	OTT_CRU_>=70_0_0	24492.28	-9	-9	201	-9	16	0.00	162.11	239.96	369.46	458.57	523.56	539.12	692.44	658.53	565.98	659.20	811.11	0.00	0.00	0.00	0.00	763.08	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	1	27.8.a	France	518940.00	Discards	R-Reported	GTR_DEF_100-119_0_0_all	2982.13	-9	-9	226	-9	51	17.34	63.52	136.58	155.44	220.10	242.96	216.51	292.00	230.30	249.00	0.00	0.00	0.00	0.00	0.00	0.00	770.24	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	282024.00	Landings	R-Reported	OTT_DEF_>=70_0_0	14391.56	-9	-9	344	-9	5	0.00	147.10	245.80	419.51	457.38	541.42	646.28	897.22	739.19	548.79	884.00	1098.13	0.00	0.00	0.00	0.00	827.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.a	France	560214.00	Landings	R-Reported	OTB_DEF_>=70_0_0	51834.76	-9	-9	740	-9	12	0.00	0.00	319.73	241.02	258.37	257.12	338.15	313.65	367.26	423.88	368.62	173.00	340.32	358.00	619.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	1	27.8.a	France	479868.00	Landings	R-Reported	OTT_CRU_>=70_0_0	13614.71	-9	-9	140	-9	8	0.00	0.00	163.81	240.38	394.08	403.21	380.10	419.39	475.46	529.81	646.32	585.36	0.00	0.00	0.00	619.00	770.24	372.00	0.00	0.00	797.00	
sol.27.8ab	2024	1	27.8.b	France	336181.00	Discards	R-Reported	GTR_DEF_100-119_0_0_all	3458.26	-9	-9	23	-9	21	0.00	63.52	158.75	194.25	334.18	337.41	319.55	452.15	802.00	0.00	581.07	575.00	0.00	0.00	0.00	0.00	963.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.b	France	83603.00	Landings	R-Reported	OTB_DEF_32-69_0_0	3853.63	-9	-9	62	-9	3	0.00	0.00	296.61	218.23	250.98	250.24	373.33	331.92	380.37	616.19	451.18	173.00	408.32	358.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.a	France	32784.00	Landings	R-Reported	GTR_DEF_40-59_0_0	2902.66	-9	-9	85	-9	4	0.00	133.58	229.71	308.44	295.60	338.22	349.20	327.98	353.02	351.81	417.76	374.16	0.00	429.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
